Company Name,Job Title,Required Skills,Time Posted,Link to apply
lastminute.comgroup,SiteReliabilityEngineer,"orchestration , docker , database , java , devops , github , python , infrastructure",Posted 1 day ago,https://www.timesjobs.com/job-detail/site-reliability-engineer-lastminute-com-group-spain-4-to-7-yrs-jobid-IiwAWeQz8YNzpSvf__PLUS__uAgZw==&source=srp
lastminute.comgroup,ProductDataAnalyst,"sql , data extraction , python , team player",Posted 1 day ago,https://www.timesjobs.com/job-detail/product-data-analyst-lastminute-com-group-switzerland-2-to-3-yrs-jobid-tKA2ZgUy4sdzpSvf__PLUS__uAgZw==&source=srp
lastminute.comgroup,DataEngineer,"scala , sql , java , big data , python , composer , mobile , team player , infrastructure",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-engineer-lastminute-com-group-switzerland-3-to-5-yrs-jobid-Du3zJ0UtNspzpSvf__PLUS__uAgZw==&source=srp
e-stoneinformationtechnology,FullStackJavaDeveloper,"orchestration , hosting , mockito , apache tomcat , docker , database , security , java , postgresql , j2ee , mysql , api , mongodb , python , junit , mq , maven , microsoft azure",Posted 1 day ago,https://www.timesjobs.com/job-detail/full-stack-java-developer-e-stone-information-technology-bengaluru-bangalore-5-to-8-yrs-jobid-TJJwo0XvGq9zpSvf__PLUS__uAgZw==&source=srp
vimeotechnologiesprivatelimited,DataPlatformEngineerII,"orchestration , scala , data warehousing , java , git , linux , hbase , python , infrastructure , production environment , management systems",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-platform-engineer-ii-vimeo-technologies-private-limited-bengaluru-bangalore-3-to-6-yrs-jobid-MFFxnRhHxeBzpSvf__PLUS__uAgZw==&source=srp
VeevaSystems,SeniorPerformanceEngineer,"bi , docker , java , git , linux , mysql , shell scripting , san , python",Posted 1 day ago,https://www.timesjobs.com/job-detail/senior-performance-engineer-veeva-systems-seattle-6-to-9-yrs-jobid-XLIyhG3RZDVzpSvf__PLUS__uAgZw==&source=srp
VeevaSystems,SeniorMigrationConsultant,"salesforce , java , xml , api , documentum , python , oracle , sharepoint , json , rest , san , consultant , forms",Posted 1 day ago,https://www.timesjobs.com/job-detail/senior-migration-consultant-veeva-systems-8-to-11-yrs-jobid-QJLoHTgrke5zpSvf__PLUS__uAgZw==&source=srp
TOTHENEW,SeniorDevOpsEngineer,"sql , database , python scripting , postgresql , devops , mysql , mongodb , python , nosql , infrastructure setup , written communication , infrastructure",Posted 1 day ago,https://www.timesjobs.com/job-detail/senior-devops-engineer-to-the-new-noida-greater-noida-4-to-7-yrs-jobid-IkINuiUWOT1zpSvf__PLUS__uAgZw==&source=srp
SpectrumSofttechSolutionsPvtLtd,PYTHONFULLSTACKDEVELOPERCUMTRAINER,"python , socket programming , bootstrap , javascript , database , django , .net",Posted 1 day ago,https://www.timesjobs.com/job-detail/python-full-stack-developer-cum-trainer-spectrum-softtech-solutions-pvt-ltd-cochin-kochi-ernakulam-0-to-1-yrs-jobid-pl0oF89q3HNzpSvf__PLUS__uAgZw==&source=srp
SourcedeskGlobalPrivateLimited,TechnicalLead/SoftwareArchitect,"docker , postgresql , senior software developer , mysql , python , node.js , php",Posted 1 day ago,https://www.timesjobs.com/job-detail/technical-lead-software-architect-sourcedesk-global-private-limited-kolkata-10-to-18-yrs-jobid-p0jXT0__PLUS__rq95zpSvf__PLUS__uAgZw==&source=srp
skymapglobal,RemoteSensingandGISSolutionAlgorithmDeveloper,"algorithms , python , c   , remote sensing , team player , machine learning , radar",Posted 1 day ago,https://www.timesjobs.com/job-detail/remote-sensing-and-gis-solution-algorithm-developer-skymap-global-singapore-0-to-3-yrs-jobid-zIUNUIoAlyBzpSvf__PLUS__uAgZw==&source=srp
RANGAMINFOTECHPVT.LTD.,TechnologyServiceAnalyst,"python , bi , team player , sql",Posted 1 day ago,https://www.timesjobs.com/job-detail/technology-service-analyst-rangam-infotech-pvt-ltd-pune-3-to-4-yrs-jobid-VHo9ybRBCzVzpSvf__PLUS__uAgZw==&source=srp
PUBLICISGROUPE,SeniorSoftwareEngineer,"senior software engineer , sql , plsql , database , java , debugging , crm , python , oracle , triggers , messaging , infrastructure , .net , unix",Posted 1 day ago,https://www.timesjobs.com/job-detail/senior-software-engineer-publicis-groupe-bengaluru-bangalore-0-to-3-yrs-jobid-yueEj7GUN5pzpSvf__PLUS__uAgZw==&source=srp
paxceltechnologiespvt.ltt/paxcomindia(p)ltd,PrincipalEngineer,"rest api , protocol development , spring , oop , java , devops , mysql , api , python , maven , nosql",Posted 1 day ago,https://www.timesjobs.com/job-detail/principal-engineer-paxcel-technologies-pvt-ltt-paxcom-india-p-ltd-bengaluru-bangalore-10-to-13-yrs-jobid-hgbXt__PLUS__DIqaFzpSvf__PLUS__uAgZw==&source=srp
paxceltechnologiespvt.ltt/paxcomindia(p)ltd,SeniorFullStackDeveloper(Mean/MernStack),"css , git , postgresql , debugging , telecom , html , python , oracle , ivr , mobile , javascript , node.js",Posted 1 day ago,https://www.timesjobs.com/job-detail/senior-full-stack-developer-mean-mern-stack-paxcel-technologies-pvt-ltt-paxcom-india-p-ltd-mohali-gurgaon-2-to-5-yrs-jobid-e8HlhvITYL9zpSvf__PLUS__uAgZw==&source=srp
oneaccessnetworkspvtltd,"R&DLinux,PythonFullstackNFVEngineer","css , html5 , ajax , apache , devops , mysql , html , api , python , github , director , javascript , nfv , sql , security , git , linux , rest , c , team player",Posted 1 day ago,https://www.timesjobs.com/job-detail/r-d-linux-python-fullstack-nfv-engineer-oneaccess-networks-pvt-ltd-bengaluru-bangalore-5-to-10-yrs-jobid-WPtBgCGQWPRzpSvf__PLUS__uAgZw==&source=srp
NuvoloTechnologies,SeniorDevOpsEngineer,"devops , debugging , python , javascript , servicenow , infrastructure",Posted 1 day ago,https://www.timesjobs.com/job-detail/senior-devops-engineer-nuvolo-technologies-5-to-8-yrs-jobid-XdwlVyK4uKNzpSvf__PLUS__uAgZw==&source=srp
NuageBiz.Tech,AzureDeveloper,"python , docker , git , devops , infrastructure , gateway",Posted 1 day ago,https://www.timesjobs.com/job-detail/azure-developer-nuagebiz-tech-noida-greater-noida-2-to-3-yrs-jobid-96VL9RXcVspzpSvf__PLUS__uAgZw==&source=srp
netskopesoftwarepvt.ltd,"StaffEngineer,DataPlatform","security , java , big data , cloud computing , python , messaging , bscs , cassandra",Posted 1 day ago,https://www.timesjobs.com/job-detail/staff-engineer-data-platform-netskope-software-pvt-ltd-bengaluru-bangalore-10-to-13-yrs-jobid-8__SLASH__cktNBcpa5zpSvf__PLUS__uAgZw==&source=srp
netskopesoftwarepvt.ltd,"SoftwareEngineer,CloudAppResearcher","xml , html , python , javascript , security , json , debugging , technical skills , machine learning , written communication",Posted 1 day ago,https://www.timesjobs.com/job-detail/software-engineer-cloud-app-researcher-netskope-software-pvt-ltd-bengaluru-bangalore-3-to-7-yrs-jobid-1ZGawGipyxhzpSvf__PLUS__uAgZw==&source=srp
MODEFINSERVERPRIVATELIMITED,PythonDeveloper,"python , webrtc , html5 , javascript , database , django , postgresql , linux , debugging , sockets",Posted 1 day ago,https://www.timesjobs.com/job-detail/python-developer-mode-finserver-private-limited-bengaluru-bangalore-2-to-5-yrs-jobid-7VLOqvvZJNtzpSvf__PLUS__uAgZw==&source=srp
MODEFINSERVERPRIVATELIMITED,ChatbotDeveloper,"python , json , Chatbot Developer",Posted 1 day ago,https://www.timesjobs.com/job-detail/chatbot-developer-mode-finserver-private-limited-bengaluru-bangalore-2-to-5-yrs-jobid-OsT__PLUS__NFMXE0ZzpSvf__PLUS__uAgZw==&source=srp
MODEFINSERVERPRIVATELIMITED,PythonLead,"python , css , machine learning , artificial intelligence , javascript , sql , django , html , dash",Posted 1 day ago,https://www.timesjobs.com/job-detail/python-lead-mode-finserver-private-limited-bengaluru-bangalore-7-to-10-yrs-jobid-z4b1uidMH0JzpSvf__PLUS__uAgZw==&source=srp
KIWITECH,DevOpsEngineer,"intrusion detection , docker , git , iam , linux , heroku , api , github , python , ruby , php",Posted 1 day ago,https://www.timesjobs.com/job-detail/devops-engineer-kiwitech-noida-greater-noida-3-to-6-yrs-jobid-5y__SLASH__S2Yl0hO9zpSvf__PLUS__uAgZw==&source=srp
JumpTrading,NetworkEngineer,"information technology , ip networking , git , postgresql , pim , linux , json , mysql , big data , rest , python , problem solving , network management , infrastructure , splunk",Posted 1 day ago,https://www.timesjobs.com/job-detail/network-engineer-jump-trading-netherlands-new-york-city-chicago-null-5-to-8-yrs-jobid-68__SLASH__Yx0OH7wxzpSvf__PLUS__uAgZw==&source=srp
ClarivateAnalytics,DevelopmentOperationsEngineer(AWS),"docker , security , java , devops , teamcity , web development , api , cloud computing , rest , python , maven , gradle , infrastructure",Posted 1 day ago,https://www.timesjobs.com/job-detail/development-operations-engineer-aws-clarivate-analytics-4-to-7-yrs-jobid-qMmPtrEoNOxzpSvf__PLUS__uAgZw==&source=srp
arrkgroup,AWSservicesAPIwithPython,"python , team player , api",Posted 1 day ago,https://www.timesjobs.com/job-detail/aws-services-api-with-python-arrk-group-navi-mumbai-2-to-3-yrs-jobid-iv__SLASH__dTdT__SLASH__q4dzpSvf__PLUS__uAgZw==&source=srp
